Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"if (isTitleTest == ""true"")",,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.000s,PASSED
else,,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.001s,PASSED
return (a * 65000),,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.002s,PASSED
"req = findTestObject(""API_Create Note"", [""title"":title, ""content"":content, ""userIds"":userIds])",,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.006s,PASSED
getHttpHeaderProperties().removeIf({ -> ... }),,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.000s,PASSED
getHttpHeaderProperties().add(authorizationHeader),,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.001s,PASSED
res = sendRequest(req),,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.027s,PASSED
"verifyResponseStatusCode(res, expected.intValue(), CONTINUE_ON_FAILURE)",,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.002s,PASSED
"verifyElementPropertyValue(res, ""title"", title, CONTINUE_ON_FAILURE)",,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.031s,PASSED
"verifyElementPropertyValue(res, ""content"", content, CONTINUE_ON_FAILURE)",,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.034s,PASSED
"users = getElementPropertyValue(res, ""users"", CONTINUE_ON_FAILURE)",,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.027s,PASSED
users = users.sort({ java.lang.Object user -> ... }),,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.000s,PASSED
userIdList =  }).sort(),,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.001s,PASSED
"for ([i = 0, i < userIdList.size(), (i++)])",,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.001s,PASSED
,,,,,,,
Test Cases/TC_Create Note_Authorization,,,,25-08-2024 14:31:28,25-08-2024 14:31:29,0.281s,PASSED
"if (tokenState == ""empty"")",,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.002s,PASSED
"authorizationHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, tokenValue)",,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.000s,PASSED
"req = findTestObject(""API_Create Note"", [""title"":title, ""content"":content, ""userIds"":userIds])",,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.008s,PASSED
getHttpHeaderProperties().removeIf({ -> ... }),,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.005s,PASSED
getHttpHeaderProperties().add(authorizationHeader),,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.002s,PASSED
res = sendRequest(req),,,,25-08-2024 14:31:28,25-08-2024 14:31:29,0.014s,PASSED
"verifyResponseStatusCode(res, expected.intValue(), CONTINUE_ON_FAILURE)",,,,25-08-2024 14:31:29,25-08-2024 14:31:29,0.004s,PASSED
,,,,,,,
Test Cases/TC_Create Note_Authorization,,,,25-08-2024 14:31:29,25-08-2024 14:31:29,0.046s,PASSED
"if (tokenState == ""empty"")",,,,25-08-2024 14:31:29,25-08-2024 14:31:29,0.001s,PASSED
"else if (tokenState == ""incorrect"")",,,,25-08-2024 14:31:29,25-08-2024 14:31:29,0.002s,PASSED
"authorizationHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, tokenValue)",,,,25-08-2024 14:31:29,25-08-2024 14:31:29,0.001s,PASSED
"req = findTestObject(""API_Create Note"", [""title"":title, ""content"":content, ""userIds"":userIds])",,,,25-08-2024 14:31:29,25-08-2024 14:31:29,0.005s,PASSED
getHttpHeaderProperties().removeIf({ -> ... }),,,,25-08-2024 14:31:29,25-08-2024 14:31:29,0.001s,PASSED
getHttpHeaderProperties().add(authorizationHeader),,,,25-08-2024 14:31:29,25-08-2024 14:31:29,0.000s,PASSED
res = sendRequest(req),,,,25-08-2024 14:31:29,25-08-2024 14:31:29,0.014s,PASSED
"verifyResponseStatusCode(res, expected.intValue(), CONTINUE_ON_FAILURE)",,,,25-08-2024 14:31:29,25-08-2024 14:31:29,0.003s,PASSED
